id	source_po_id	source_po_no	material_id	material_code	material_name	line_description	brand_name	qty_buy	buy_uom_id	buy_uom_code	content_per_buy	qty_content	content_uom_id	content_uom_code	hpp	unit_price	request_date	po_status	source_updated_at
1044	691	PO-202604-0573	76	BB-EXL-FC7CCF92	GULA PASIR KITCHEN	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	17.000000	17000.00	2026-04-19	PAID	2026-04-19 10:30:57
466	317	PO-202604-0316	223	BB-EXL-822980EB	HOUSE BLEND 70	NULL	TANAH DIENG	1.0000	3	PACK	1000.000000	1000.0000	11	GR	185.000000	185000.00	2026-04-09	PAID	2026-04-19 01:37:49
228	135	PO-202604-0135	84	BB-EXL-4255CC9A	ICE CUBE	NULL	NULL	3.0000	3	PACK	8000.000000	24000.0000	11	GR	1.375000	11000.00	2026-04-04	PAID	2026-04-04 11:17:24
632	392	PO-202604-0388	87	BB-EXL-B21265E8	INDOMIE AYAM SPESIAL	NULL	NULL	5.0000	1	PCS	1.000000	5.0000	1	PCS	3000.000000	3000.00	2026-04-13	PAID	2026-04-13 08:07:11
631	393	PO-202604-0389	88	BB-EXL-00B7BD17	INDOMIE GORENG	NULL	NULL	5.0000	1	PCS	1.000000	5.0000	1	PCS	3000.000000	3000.00	2026-04-13	PAID	2026-04-13 08:06:42
648	413	PO-202604-0409	90	BB-EXL-D326AF06	JAHE EMPRIT	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	28.000000	7000.00	2026-04-13	PAID	2026-04-13 09:34:55
344	232	PO-202604-0231	91	BB-EXL-0493A1EA	JAHE GAJAH	NULL	NULL	1.0000	3	PACK	500.000000	500.0000	11	GR	26.000000	13000.00	2026-04-07	PAID	2026-04-07 08:59:46
1028	696	PO-202604-0578	92	BB-EXL-8FC1C45C	JAMUR ENOKI	NULL	DETAN	3.0000	3	PACK	100.000000	300.0000	11	GR	45.000000	4500.00	2026-04-19	PAID	2026-04-19 10:20:27
343	230	PO-202604-0229	93	BB-EXL-6451C15A	JAMUR KUPING	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	112.000000	28000.00	2026-04-07	PAID	2026-04-07 08:58:27
950	628	PO-202604-0534	97	BB-EXL-D6B7BAD8	JERUK NIPIS	NULL	NULL	1.0000	3	PACK	5.000000	5.0000	38	BUAH	800.000000	4000.00	2026-04-18	PAID	2026-04-18 09:20:20
774	483	PO-202604-0479	99	BB-EXL-93F671B8	KACANG TANAH	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	40.000000	10000.00	2026-04-16	PAID	2026-04-16 08:46:18
575	371	PO-202604-0367	100	BB-EXL-D435C2B9	KALDU AYAM	NULL	ROYCO	4.0000	2	UNIT	220.000000	880.0000	11	GR	45.454545	10000.00	2026-04-11	PAID	2026-04-11 10:06:51
956	637	PO-202604-0543	102	BB-EXL-035B00F7	KANI STICK	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	48.000000	48000.00	2026-04-18	PAID	2026-04-18 09:24:12
428	290	PO-202604-0289	104	BB-EXL-388400D7	KATSUOBUSHI	NULL	MARUMO	1.0000	3	PACK	500.000000	500.0000	11	GR	454.000000	227000.00	2026-04-08	PAID	2026-04-08 15:07:55
679	445	PO-202604-0441	108	BB-EXL-D3766942	KECAP MANIS	NULL	NULL	1.0000	6	BTL	1500.000000	1500.0000	9	ML	25.333333	38000.00	2026-04-14	PAID	2026-04-14 07:32:19
780	480	PO-202604-0476	109	BB-EXL-B80460DC	KEJU CHEDDAR	NULL	NULL	1.0000	3	PACK	150.000000	150.0000	11	GR	119.333333	17900.00	2026-04-16	PAID	2026-04-16 09:52:34
340	229	PO-202604-0228	110	BB-EXL-A094264A	KEJU MOZARELLA	NULL	PERFECTO	1.0000	3	PACK	250.000000	250.0000	11	GR	148.000000	37000.00	2026-04-07	PAID	2026-04-07 08:55:26
650	415	PO-202604-0411	111	BB-EXL-1BBB78AD	KEJU SPREADY	NULL	NULL	1.0000	3	PACK	140.000000	140.0000	11	GR	107.142857	15000.00	2026-04-13	PAID	2026-04-13 09:38:30
